model,condition,n,correct_yes,false_negative_no,unknown,accuracy,accuracy_percent,false_negative_rate_percent
LLaVA-1.5-7B,none,522,494,28,0,0.946360153256705,94.6360153256705,5.363984674329502
LLaVA-1.5-7B,all,522,482,40,0,0.9233716475095786,92.33716475095784,7.662835249042145
LLaVA-1.5-7B,removed,522,492,30,0,0.942528735632184,94.2528735632184,5.747126436781609
LLaVA-1.5-7B,context,522,492,30,0,0.942528735632184,94.2528735632184,5.747126436781609
LLaVA-1.5-7B,background,522,484,38,0,0.9272030651340996,92.72030651340997,7.2796934865900385
Qwen2.5-VL-7B,none,522,472,50,0,0.9042145593869731,90.42145593869732,9.578544061302685
Qwen2.5-VL-7B,all,522,458,64,0,0.8773946360153256,87.73946360153256,12.260536398467432
Qwen2.5-VL-7B,removed,522,471,51,0,0.9022988505747126,90.22988505747126,9.770114942528735
Qwen2.5-VL-7B,context,522,472,50,0,0.9042145593869731,90.42145593869732,9.578544061302685
Qwen2.5-VL-7B,background,522,462,60,0,0.8850574712643678,88.50574712643679,11.494252873563218
