condition,seed,sample_id,target_object,uncertainty_answer,random_answer,uncertainty_hallucinated,random_hallucinated,paired_advantage
all,42,sample_000062,bottle,no,no,0,0,0
all,42,sample_000068,car,yes,yes,1,1,0
all,42,sample_000069,bus,yes,yes,1,1,0
all,42,sample_000073,cat,no,no,0,0,0
all,42,sample_000077,cat,yes,yes,1,1,0
all,42,sample_000079,cat,yes,yes,1,1,0
all,42,sample_000080,cat,yes,yes,1,1,0
all,42,sample_000081,cat,yes,yes,1,1,0
all,42,sample_000084,cat,yes,yes,1,1,0
all,42,sample_000085,dog,yes,yes,1,1,0
all,42,sample_000086,bus,yes,yes,1,1,0
all,42,sample_000088,cat,yes,yes,1,1,0
all,42,sample_000090,chair,yes,yes,1,1,0
all,42,sample_000092,bus,no,no,0,0,0
all,42,sample_000093,dog,yes,yes,1,1,0
all,42,sample_000094,dog,yes,yes,1,1,0
all,42,sample_000095,bus,yes,yes,1,1,0
all,42,sample_000096,bench,yes,yes,1,1,0
all,42,sample_000097,bus,yes,yes,1,1,0
all,42,sample_000098,car,yes,yes,1,1,0
all,42,sample_000099,car,yes,yes,1,1,0
all,42,sample_000100,bench,no,no,0,0,0
all,42,sample_000101,car,yes,yes,1,1,0
all,42,sample_000102,bus,yes,yes,1,1,0
all,42,sample_000103,car,yes,yes,1,1,0
all,42,sample_000104,dog,yes,yes,1,1,0
all,42,sample_000105,bicycle,yes,yes,1,1,0
all,42,sample_000106,cat,no,no,0,0,0
all,42,sample_000107,bus,yes,yes,1,1,0
all,42,sample_000108,cat,yes,yes,1,1,0
all,42,sample_000109,cat,no,no,0,0,0
all,42,sample_000110,dog,yes,yes,1,1,0
all,42,sample_000111,bus,no,no,0,0,0
all,42,sample_000112,cat,yes,yes,1,1,0
all,42,sample_000113,bottle,yes,yes,1,1,0
all,42,sample_000114,cat,no,no,0,0,0
all,42,sample_000115,car,no,no,0,0,0
all,42,sample_000116,bench,yes,yes,1,1,0
all,42,sample_000117,dog,yes,yes,1,1,0
all,42,sample_000118,bus,yes,yes,1,1,0
all,42,sample_000119,cat,no,no,0,0,0
all,42,sample_000120,cat,yes,yes,1,1,0
all,42,sample_000121,dog,yes,yes,1,1,0
all,42,sample_000122,car,yes,yes,1,1,0
all,42,sample_000123,car,yes,yes,1,1,0
all,42,sample_000124,cat,yes,yes,1,1,0
all,42,sample_000125,bus,no,no,0,0,0
all,42,sample_000126,car,yes,yes,1,1,0
all,42,sample_000127,bus,yes,yes,1,1,0
all,42,sample_000128,dog,yes,yes,1,1,0
all,42,sample_000129,car,no,no,0,0,0
all,42,sample_000130,chair,yes,yes,1,1,0
all,42,sample_000131,cat,yes,yes,1,1,0
all,42,sample_000132,bus,yes,yes,1,1,0
all,42,sample_000133,bottle,no,no,0,0,0
all,42,sample_000134,cat,no,no,0,0,0
all,42,sample_000135,chair,yes,yes,1,1,0
all,42,sample_000136,cat,yes,yes,1,1,0
all,42,sample_000137,bench,yes,yes,1,1,0
all,42,sample_000138,bicycle,yes,yes,1,1,0
all,42,sample_000139,car,no,no,0,0,0
all,42,sample_000140,cat,yes,yes,1,1,0
all,42,sample_000141,dog,yes,yes,1,1,0
all,42,sample_000142,dog,yes,yes,1,1,0
all,42,sample_000143,dog,no,no,0,0,0
all,42,sample_000144,dog,no,no,0,0,0
all,42,sample_000145,bench,no,no,0,0,0
all,42,sample_000146,bus,no,no,0,0,0
all,42,sample_000147,dog,yes,yes,1,1,0
all,42,sample_000148,bicycle,yes,no,1,0,-1
all,42,sample_000149,dog,yes,yes,1,1,0
all,42,sample_000150,bus,yes,yes,1,1,0
all,42,sample_000151,cat,no,no,0,0,0
all,42,sample_000152,dog,no,no,0,0,0
all,42,sample_000153,dog,no,no,0,0,0
all,42,sample_000154,chair,yes,yes,1,1,0
all,42,sample_000155,dog,yes,yes,1,1,0
all,42,sample_000156,car,no,no,0,0,0
