region,strategy,n,hallucinated_yes,correct_rejection_no,unknown,hallucination_rate,hallucination_rate_percent
all,high_uncertainty,522,284,238,0,0.5440613026819924,54.406130268199234
all,matched_random_seed42,522,281,239,2,0.5383141762452107,53.83141762452107
all,matched_low_uncertainty,522,281,238,3,0.5383141762452107,53.83141762452107
removed,high_uncertainty,522,304,218,0,0.5823754789272031,58.23754789272031
removed,matched_random_seed42,522,303,219,0,0.5804597701149425,58.04597701149425
removed,matched_low_uncertainty,522,300,222,0,0.5747126436781609,57.47126436781609
context,high_uncertainty,522,305,216,1,0.5842911877394636,58.429118773946364
context,matched_random_seed42,522,306,216,0,0.5862068965517241,58.620689655172406
context,matched_low_uncertainty,522,305,216,1,0.5842911877394636,58.429118773946364
background,high_uncertainty,522,288,234,0,0.5517241379310345,55.172413793103445
background,matched_random_seed42,522,288,232,2,0.5517241379310345,55.172413793103445
background,matched_low_uncertainty,522,288,231,3,0.5517241379310345,55.172413793103445
